날짜,삼성전자,LG에너지솔루션,SK하이닉스,삼성바이오로직스,LG화학,삼성SDI,현대차,기아,NAVER,POSCO홀딩스,카카오,셀트리온,포스코퓨처엠,현대모비스,삼성물산,KB금융,LG전자,신한지주,SK이노베이션,LG,삼성생명,하나금융지주,한국전력,SK,카카오뱅크,KT&G,하이브,삼성화재,SK텔레콤,삼성전기,고려아연,HD현대중공업,두산에너빌리티,크래프톤,HMM,메리츠금융지주,삼성에스디에스,LG생활건강,우리금융지주,엔씨소프트,대한항공,S-Oil,기업은행,KT,카카오페이,한화솔루션,롯데케미칼,아모레퍼시픽,LG이노텍,HD한국조선해양,SK바이오사이언스,현대글로비스,SK스퀘어,삼성엔지니어링,SK아이이테크놀로지,넷마블,DB손해보험,오리온,SK바이오팜,LG디스플레이,F&F,한온시스템,한화에어로스페이스,두산밥캣,LG유플러스,한국항공우주,CJ제일제당,현대제철,삼성중공업,HD현대,포스코인터내셔널,현대건설,한국타이어앤테크놀로지,유한양행,미래에셋증권,금호석유,강원랜드,한미약품,SKC,현대로템,GS,코웨이,삼성카드,씨에스윈드,현대해상,NH투자증권,호텔신라,BGF리테일,한국금융지주,삼성증권,쌍용C&E,롯데지주,현대미포조선,한미사이언스,LS,GS리테일,OCI,롯데에너지머티리얼즈,한진칼,대우조선해양,이마트,팬오션,DB하이텍,CJ,한화시스템,한전기술,아모레G,농심,동원산업,키움증권,한국가스공사,한솔케미칼,에스원,롯데쇼핑,제일기획,BNK금융지주,한화생명,에스디바이오센서,휠라홀딩스,한화,신세계,HL만도,HD현대인프라코어,영원무역,동서,CJ대한통운,대한전선,KCC,두산퓨얼셀,오뚜기,LS ELECTRIC,효성첨단소재,GS건설,하이트진로,효성티앤씨,LIG넥스원,대우건설,두산,롯데정밀화학,녹십자,JB금융지주,현대엘리베이,한전KPS,현대위아,효성,롯데칠성,DL이앤씨,대웅제약,금호타이어,에스엘,한국앤컴퍼니,LX인터내셔널,SK네트웍스,한올바이오파마,아이에스동서,동원시스템즈,SK케미칼,후성,풍산,GKL,코오롱인더,DGB금융지주,현대백화점,DL,영풍,동국제강,오리온홀딩스,롯데웰푸드,KG스틸,아시아나항공,종근당,일진하이솔루스,한샘,대웅,한일시멘트,태광산업,대한유화,명신산업,신풍제약,롯데관광개발,하나투어,TKG휴켐스,한국콜마,PI첨단소재,더블유게임즈,코스맥스,HDC현대산업개발,삼양식품,대상,세방전지,녹십자홀딩스,케이카,신세계인터내셔날,한세실업,한섬,보령,지누스,쿠쿠홈시스,화승엔터프라이즈,현대홈쇼핑
2022-11-11,62900,624000,93500,900000,737000,747000,172000,68000,193500,285500,58700,184949,222000,219500,123000,49400,94500,37200,182500,83400,67400,41400,19000,227000,27600,92600,141000,200500,50500,141500,622000,115500,16500,227000,20850,27900,128500,613000,11950,465000,26500,89600,10650,36600,59700,62754,166212,121500,319500,78300,91100,180000,40800,26900,64000,50600,57800,103000,68200,15400,157500,8300,73100,35750,11950,48300,415500,31850,5520,61800,22800,43050,33450,55578,6810,148000,24150,258779,111000,25700,47600,56800,31400,70800,30100,9570,72900,177500,57200,34950,5970,33500,94000,33771,69000,28700,103500,65000,41800,19350,92500,5120,46150,77100,11800,64600,28800,303500,44000,92600,35550,215500,64500,90100,23600,6690,2195,33900,33250,28800,218500,50900,7300,48250,22300,86600,1805,253000,36650,444500,54100,370000,24250,27400,313500,97700,4810,92700,60800,130500,7420,28000,34350,62800,72600,147000,38850,154000,3230,32600,12750,40400,4155,14850,33750,47400,92200,13350,29800,16650,46800,6870,58700,64500,743000,12550,14600,127000,8950,12500,81444,36050,44250,21000,11900,732000,140000,18800,22650,11600,53000,21400,39250,33350,48000,53900,11150,107500,21950,42100,17600,14250,24350,15600,25950,10650,30742,30650,9780,47700
2022-11-14,61900,604000,90900,901000,726000,759000,176000,69900,188500,294500,58500,178206,234000,219000,122500,49650,95600,37250,180000,83800,68000,41250,19400,222000,27900,93000,135500,200000,50100,140000,631000,115000,16900,224500,21300,28700,128000,652000,11900,442000,25800,89800,10750,36700,62700,62255,178595,121000,316000,76900,94300,181500,40500,26350,63800,48450,57700,104500,70900,14650,157000,9000,70900,36650,11950,46050,417000,33300,5480,62400,22650,43550,34250,55482,6800,153500,24250,261726,114500,25250,48550,57400,31850,69900,29100,9600,72000,182500,57000,34950,6150,33500,90000,33329,68200,28300,105000,67300,40600,18800,93000,5250,45600,76900,11700,64000,29250,318000,44000,91700,35100,202000,65300,90600,23750,6760,2345,34800,34300,28450,218000,51000,7770,51300,22200,90000,1910,255000,36250,453500,53500,393500,23900,27100,352500,92000,4840,91200,63000,134000,7430,27900,34550,63700,73900,144500,38350,154500,3290,32850,12800,40350,4190,14350,34000,47850,101000,13900,29750,16850,47100,6940,58800,66100,810000,12950,14750,123000,9060,12350,82399,35000,44350,21000,12450,744000,160000,18450,27350,11550,52600,21900,39100,33000,45750,55500,11250,108500,22100,43550,17700,13900,24950,16950,26700,10650,30697,30350,10450,47500
2022-11-15,62400,596000,91600,906000,710000,718000,174500,68500,192000,291500,58700,181096,236000,220500,123000,49600,96600,36800,178000,85100,66900,40950,19350,219000,28700,94600,138000,195000,50100,143000,634000,115500,16950,220000,21600,29850,129000,672000,11950,456500,26150,87500,10700,36450,64600,61694,181453,127000,324000,77400,99800,181500,40050,26050,64900,52400,56000,106500,75800,14850,158500,8900,70700,37950,11850,45950,396500,33700,5420,61600,22500,42650,34150,56822,6810,154000,24150,265163,115500,25300,47350,57700,31600,72500,28300,9550,72900,190500,57100,35000,6080,33850,90300,34066,68000,28250,105500,66400,41000,19350,93600,5530,49000,79000,12200,63700,31100,317000,48700,92600,35250,210000,65700,90300,23650,6820,2300,35150,33650,28300,218000,50700,7650,48550,22100,91700,1865,255000,36250,447000,52900,399500,24400,26850,365500,90700,4865,92700,63000,145000,7500,28800,34750,63200,74000,141500,39450,156000,3315,28900,12900,39350,4205,15000,34650,48100,107500,14050,30000,16850,47650,7050,58400,66500,808000,13300,14750,123500,9260,12500,84977,35550,49900,21850,12550,744000,168000,18200,30300,11600,53100,21850,39850,33500,47150,59500,11450,102500,21150,45500,18150,13650,25100,16750,26550,10950,31882,29550,10350,47550
2022-11-16,62700,600000,91500,880000,707000,722000,172000,67800,189500,288000,58600,172908,225500,216000,124500,50100,95600,36650,177500,85900,67300,41750,19650,220000,28300,95900,140500,193500,49550,139000,639000,115000,17250,221000,21000,28000,130500,671000,12200,461000,25750,88800,10850,36300,65900,63877,172880,122500,318000,79700,96600,178500,40450,26500,63300,50900,56900,109500,75800,14750,156500,8700,70000,38000,11700,45750,392000,33750,5510,62200,22950,42650,34050,56535,6810,149000,24150,266145,112500,26600,47650,57200,31400,75800,28900,9580,73600,193500,56800,34750,6160,33800,92700,34704,68700,28550,106000,65900,41400,20150,95700,5370,49150,79500,12000,68100,31150,316500,47300,92800,35200,209000,66200,91000,23850,6900,2275,34150,33750,28850,216000,49300,7670,48800,21950,90600,1885,262500,37150,463500,55900,396500,24150,26950,367000,91300,4890,91700,62300,137000,7720,28450,34800,61700,74700,143500,39500,153500,3320,28050,12900,40000,4170,14750,33850,48500,102000,13850,30150,17100,47400,7290,58700,65900,859000,13400,14650,124500,9260,12300,84308,36150,45750,21200,12400,740000,163000,17950,28850,11500,52700,21900,39600,34100,47550,59100,11250,105500,20950,44550,17850,13500,25250,16850,26300,10800,32247,29500,10450,47800
2022-11-17,61400,597000,87700,875000,700000,700000,170000,66300,188000,284000,59100,172908,224500,211000,120000,48550,92900,35850,171000,84000,67400,41000,19550,216500,28250,94700,143000,193500,49850,138000,642000,113500,16350,229500,20550,27750,127500,666000,11900,479500,25300,86800,10850,36300,64700,62006,162402,120500,310500,77600,96600,172500,39200,25200,62200,53400,56800,112000,76200,14400,156000,8760,68300,38500,11950,44800,392000,33350,5390,62000,22300,40900,33450,56343,6570,148000,24050,266145,112000,28050,46450,58500,31250,76700,28650,9430,73000,198000,55200,34300,6300,32300,90800,33869,68500,28900,105500,64400,41050,20150,94300,5250,48000,77700,11750,65200,31100,320500,47600,91200,34500,204000,64100,88300,23950,6880,2275,34950,33300,28500,214500,48850,7580,47900,22050,91400,1795,262000,36850,467000,54700,400000,23150,26750,352500,89200,4770,88800,63200,136000,7670,28800,34000,60500,73800,138000,38700,152500,3160,28100,12850,39250,4125,15050,32800,50700,103000,13450,29850,16800,46800,7240,57400,64700,827000,13500,14900,127500,9060,12100,84499,34350,45700,21150,12350,743000,159500,17600,27200,11600,52500,21800,39600,33150,47800,58700,11350,102500,21000,44900,18050,13700,25200,15850,25900,11100,31928,30300,10150,49600
2022-11-18,61800,598000,88400,882000,704000,701000,169500,66000,185500,289500,57700,171463,224000,216000,121500,49000,92000,36300,172500,83300,66500,41400,19700,211000,27700,95000,137000,194000,49550,138500,648000,117500,16300,230000,20400,28050,127500,663000,11750,451000,25200,88200,10800,36600,61600,62130,159069,118500,307500,78100,91400,174000,38500,25550,61700,51900,58500,110500,77500,14850,159000,8770,71400,40400,12050,45850,394500,33000,5330,62900,22000,41050,33600,55961,6530,147000,24050,260743,108500,27350,46300,57800,31300,75200,28950,9400,72400,195000,55600,34250,6220,31750,91000,33771,67900,28550,103500,65100,40550,20100,92200,5220,48100,77300,11750,63200,31700,322000,47600,88700,34600,210000,64300,87400,24300,6890,2240,35100,33450,28100,213500,48550,8060,49000,21850,89500,1765,257500,36900,453500,55700,393000,23350,26650,347000,92200,4835,91700,61400,134000,7650,28850,33800,60500,74100,138500,39400,152000,3080,27650,12800,39850,4140,15200,32500,49550,103500,13250,29750,16750,46050,7260,56900,64700,803000,13150,14700,127500,9140,11950,84308,34000,45750,20850,11950,741000,156000,17600,26100,11250,51900,21600,38650,32600,48150,59000,11200,104000,20900,48300,17700,13400,25200,15750,26050,11150,32247,30850,10250,48750
2022-11-21,61400,573000,86300,888000,682000,694000,168000,65200,182500,288500,56300,170500,223000,215500,122500,49700,90100,36500,170500,84900,67300,41950,19500,208500,26850,95500,137500,195000,49750,137000,648000,114000,16450,236500,20250,26750,127000,634000,12100,459000,25150,88500,10900,36550,61000,63378,165736,115500,308500,76900,88800,174000,37250,25750,59600,51800,58100,110000,73900,14800,151000,8700,72100,38850,11950,45950,401000,33000,5120,64200,21950,39950,33300,55961,6460,146500,24250,257797,106500,29150,47150,57400,31450,75000,28950,9350,71700,194000,55900,33600,6110,32000,90200,32544,67900,28600,103000,61300,40300,19250,92000,5120,47200,76600,11700,62900,29300,321500,48100,87100,34050,201500,66600,86800,23800,6960,2300,32500,34300,28050,211500,48800,7680,50000,21800,88300,1710,252500,35100,461000,56000,388000,22450,26800,344000,91200,4750,93300,60900,131000,7650,28500,34000,60000,73500,140000,38150,150500,2970,27500,12750,39900,4100,14850,32200,48900,100500,13100,29050,16700,45400,7260,57800,64600,781000,13300,14600,128000,8970,11750,83927,33750,44750,20550,11950,733000,160000,16900,24250,11000,50600,21900,38300,31950,48350,59000,10850,107500,21100,43500,17500,12950,24700,15650,26250,10900,31700,30600,10000,48750
2022-11-22,60600,571000,85200,888000,687000,680000,165500,65200,180500,292500,54300,170018,218000,210500,122500,49800,89500,36450,167500,83600,67600,42300,19350,206000,25000,95600,132000,197000,49750,133500,656000,116500,16850,224000,20550,34750,127000,620000,12350,448500,24300,86900,11000,36850,56400,64501,160021,115500,303000,78300,86700,173500,36650,25650,58500,48700,57900,109500,71200,14500,148500,8480,72800,38850,12050,46850,394000,33150,5160,63600,22200,40300,33550,55769,6410,145000,23950,256324,102000,28850,47050,56300,31500,76000,29350,9400,70000,196500,56400,33800,6060,31600,90200,31611,71300,29100,102500,59100,39550,19500,92000,5110,45950,76700,11600,64000,28550,323500,49000,87300,34100,199000,64200,85300,24050,7020,2275,33500,33750,28150,209000,47000,7960,49050,21600,88700,1700,246000,35500,455500,58900,376500,23050,25950,331500,94900,4840,99700,61500,129000,7830,28500,34350,59000,74000,137500,40000,149000,2955,27650,12900,40050,4105,14550,32650,47150,96200,13150,29450,16350,45600,7300,58300,66500,760000,13400,14800,129500,8960,11350,82112,33050,43700,20000,11850,736000,153000,16550,23700,10500,49950,21800,37700,30850,46950,57000,11000,109000,21150,43100,17100,12900,24300,15850,25850,10600,30850,31250,9560,48650
2022-11-23,61000,561000,85200,888000,701000,701000,166000,66300,181500,289500,55700,168573,219500,211000,119500,49950,90200,36400,168500,82900,67900,42250,19900,205000,25000,95100,141000,196500,50000,133500,658000,114500,16900,223000,22300,36400,126500,624000,12300,457500,25100,88600,10950,37150,56300,64875,166689,117500,301500,78200,79900,173000,37450,25850,59800,50000,58900,112000,71600,14800,148000,8610,71000,38250,12150,46200,391500,33400,5250,64800,23700,40150,34250,55387,6420,147000,24200,254360,105500,29900,47150,57300,31500,75700,29300,9480,70600,200000,56400,34250,5970,32300,91000,31660,73500,29600,104000,60700,39750,19400,93000,5240,46700,77100,11650,63000,29700,326500,49000,88000,34650,203500,64500,86100,24300,7110,2295,33000,32650,28850,210000,48300,7950,48850,21950,89900,1685,241500,35550,455500,58900,396500,23200,26350,335500,93700,4910,98500,61700,130500,8090,28850,34750,60200,74500,138000,40750,148000,3100,28100,13450,41050,4195,14600,32700,47100,91300,13450,29550,16750,46500,7390,58600,69500,792000,13950,15150,130000,9010,11850,82876,33300,44300,20150,11850,750000,153000,17300,23250,10700,50500,22000,38350,31650,47700,58200,11250,108500,21050,43500,17100,13250,23900,16100,25900,10650,31400,30750,9870,49900
2022-11-24,61400,568000,86900,896000,728000,720000,167500,65900,188000,289500,57400,170982,224000,209000,120000,51000,90500,37050,169000,84200,69600,43350,19850,208000,25800,95200,143000,200500,50000,135500,617000,114500,17150,228000,21800,36000,125500,624000,12550,459500,25050,87100,11050,36650,57000,67370,169546,120500,302500,77600,81400,171000,37450,25950,62800,51600,59800,113500,72800,14600,148000,8630,72100,38050,12000,46000,390500,33100,5190,64100,23450,40100,34250,55961,6620,147000,24300,252887,110000,30000,46150,57700,31650,79100,29400,9520,70900,200500,57500,35200,6040,31800,90000,31759,72500,29600,97800,61400,40050,19250,93200,5190,46700,77200,11700,63100,31300,323000,49000,93300,35150,208500,65000,85200,24150,7190,2290,32600,32750,28700,209000,47200,7920,48450,21750,90700,1715,240000,35750,450000,59600,404000,23350,26250,356000,92700,4910,100500,61500,133000,8220,29250,34900,59600,74300,145000,40700,152000,3030,28450,13350,40250,4165,14700,32250,46800,92000,13600,29500,16650,46500,7540,59700,70800,764000,13450,15100,129000,9140,11900,83640,34300,44450,20350,11950,749000,162500,17900,23500,10900,51600,21800,38750,32700,48850,58700,11150,109500,21200,45650,17400,13250,24200,15800,26200,10650,31450,30900,10050,49300
2022-11-25,61000,571000,85100,903000,721000,725000,166000,65400,185000,295500,56100,168573,223500,209500,119500,50400,89700,36550,175500,85000,69800,43300,20150,210000,26400,96500,139000,203500,50000,134000,657000,114500,16950,219500,21650,37050,125000,613000,12450,453000,25050,87700,11050,37100,56600,66871,168117,122000,299500,78200,81600,173000,37100,25100,68300,49850,60500,114000,72100,14650,146000,8600,71500,40700,12000,45500,392500,33400,5190,64700,23600,40100,34050,55195,6590,147000,24100,248467,110500,30200,46600,58000,31600,78800,29800,9540,70400,205500,57300,35250,6010,31850,89900,30482,74700,29700,97700,60900,39950,19400,93100,5190,45950,77200,11600,63100,30800,321000,49000,91300,34900,208500,64700,85600,24150,7260,2380,32650,32850,28300,209500,47000,8310,47400,21550,92300,1745,238500,35800,449000,60000,402000,23550,26000,359500,91700,4900,97800,61400,134000,8290,29550,34750,58900,74400,151000,40700,152000,3035,28350,13550,40950,4150,14550,32600,47850,91300,13850,30050,16400,46300,7590,59700,70100,771000,13700,15150,130000,9220,11850,82590,34000,44800,20000,12050,745000,160500,17550,23000,10950,50300,21900,38150,31850,49250,58700,11150,108500,21100,45550,17200,12950,23900,15700,26000,10700,31600,30800,9370,49350
2022-11-28,60100,562000,83100,885000,719000,727000,167500,65400,180500,294000,54600,166647,221500,208500,119500,49300,93200,36300,174500,84100,69700,41850,20000,210500,25000,95700,138000,201000,49900,132000,646000,113000,16550,217000,21350,35600,122500,617000,12150,453000,24550,84300,10950,37150,53700,65374,167165,124500,304500,76000,79800,168500,36450,24650,66000,48550,59300,112000,72200,14650,143000,8580,71500,40400,11950,44800,388000,32800,5110,64500,23350,39400,33850,54430,6470,146000,24000,247485,109000,29700,46200,56200,31500,77100,29450,9380,70400,200000,56500,34600,5980,31800,83800,30335,74700,29100,95000,60000,39500,18900,91200,5220,45700,75500,11400,61100,32750,321500,48100,89500,34150,205000,63400,83100,23800,7200,2405,32450,32900,28300,206500,47400,8410,47550,21350,91400,1695,237500,34700,450500,59800,392000,23550,25700,347000,90900,4900,97700,61400,131500,8170,29300,34200,59700,74300,156000,40050,148000,2960,27650,13650,39650,4165,14050,34400,52600,91500,13200,30400,16450,44700,7580,59100,70100,752000,13450,15050,129000,8860,11700,80298,33150,45850,19800,12200,734000,160500,17200,22000,10500,50200,21800,37900,31100,49300,57600,11050,108500,21000,45000,16750,13050,23950,15350,25900,10500,31600,31550,9240,49500
2022-11-29,60600,567000,83700,885000,715000,718000,169000,67300,182500,293500,55900,170018,222500,208500,121000,51600,93800,37350,175000,84700,70700,43750,20250,215500,25050,96700,144000,204500,49800,134500,633000,114000,16600,219000,21850,36600,124000,654000,12650,454500,25200,86800,11050,37150,54200,65125,176214,130000,299000,76700,80700,172500,36650,24550,66200,49200,61300,116000,73000,14500,149500,8710,73400,41350,11950,47700,389500,33550,5160,64800,23950,40600,34050,54909,6630,150500,24600,251905,109500,31000,46550,55500,31650,76800,29750,9490,72400,199000,57200,35150,6000,32400,84600,30679,74200,29500,95100,61100,39900,19100,91900,5350,44950,76900,11550,60600,33000,328500,48000,92100,34000,209500,64200,84100,24000,7300,2425,32950,32900,28850,209500,47950,8380,47250,21550,92500,1695,238500,34600,446500,58200,396000,23750,26150,360000,92000,4920,97900,61700,135500,8280,29750,34050,60100,74900,155000,40350,147500,3010,28000,14050,40350,4170,14200,34200,52200,94800,13250,30300,17100,45150,7730,59900,69500,753000,13650,15300,129000,9070,13050,80585,33450,46550,19750,12150,738000,167000,17900,22000,11800,52100,21550,40000,31700,49400,63500,11050,108000,21050,46450,17100,12800,24100,15750,25850,10600,31750,31250,9350,49200
2022-11-30,62200,587000,85000,887000,740000,729000,169000,68600,187000,299500,56400,169537,218500,213000,122000,52500,97600,38100,179000,84100,73400,44550,20700,219000,25050,99900,143000,205500,50000,141000,630000,118500,16750,227000,22300,37750,127500,656000,13000,470500,25450,87200,11200,37400,52900,64002,174785,130500,310500,78300,82800,176500,37450,24550,65900,48950,62100,117500,73600,14450,151500,8700,72600,35550,12100,48500,395000,33900,5210,64500,24000,41000,34000,55865,6650,149500,25050,256815,112000,31850,48600,57600,32300,76500,30200,9630,73000,205500,57700,35200,5970,32850,86500,30826,75200,29800,95100,61900,40650,19100,92100,5390,44600,76700,11500,60600,31650,328500,47050,92000,34900,210000,64200,84500,24250,7390,2515,32900,33050,29050,210500,48000,8290,47500,21400,88400,1690,238500,33600,445500,57700,393500,23400,26150,357000,92500,5090,97300,62500,129000,8420,29800,34500,59800,76500,157000,41850,147500,3010,27900,14350,41200,4220,14250,34150,50700,88800,13250,30400,16900,45900,7920,60300,68800,765000,13750,15300,129000,9070,12600,79916,33350,46950,20300,12300,740000,161500,17650,21650,11850,51400,21500,38750,32100,48700,60800,11050,111500,21300,48450,17300,14250,24150,15850,25850,10650,32200,32200,9370,49650
2022-12-01,62600,585000,84700,884000,722000,726000,171500,68600,187500,301000,57900,171945,220500,213500,121500,53500,96200,38350,177500,84600,72300,46000,20650,217500,26500,97600,153500,203500,50500,136000,627000,118500,16750,220000,21700,41200,127000,646000,13100,464000,25500,87600,11200,37400,54800,64251,173356,128000,313500,77100,83200,174000,37500,24600,66800,50900,62300,116500,72700,14800,154000,8720,72200,36000,12050,47850,390000,34300,5220,65000,23750,41100,34550,55961,6780,146500,24650,255833,113500,32000,47850,56700,32500,75600,30250,9710,74200,196500,59000,35750,6070,32650,86000,31120,72300,29500,95600,63300,40850,19150,93200,5420,46050,77600,11650,61000,31300,330000,46850,94000,35000,211000,64100,84400,24100,7440,2460,31800,33550,29150,213000,48500,8280,47750,21800,89900,1695,241000,34150,450000,56600,390000,24900,26350,356500,91500,5030,92600,62100,129000,8430,30050,34850,60500,76600,157500,41650,153500,3040,27900,14250,41900,4190,14450,34050,50500,88500,13500,30550,17000,46500,7990,60600,69300,760000,13950,15650,128500,9140,12700,82399,33750,47200,20850,12750,750000,158500,17750,24000,12050,54800,21700,39900,32400,49000,63300,11550,112000,21400,48250,17500,14050,25000,15950,26600,10750,32650,32700,9600,50600
2022-12-02,60400,584000,81900,870000,711000,718000,169000,66500,185500,295000,56900,167610,214500,213500,117500,52400,96600,38100,174000,82600,69300,45550,19900,211000,26250,97300,151000,197000,50300,136500,611000,115000,16150,201500,21400,40300,125000,670000,12750,469500,25000,86100,11200,37450,54800,62754,171927,131500,309500,74000,81800,170000,36900,23700,64000,54300,61100,115500,72500,14500,150500,8610,72000,35450,12050,47000,380500,33750,5100,63600,23500,39650,33800,55769,6510,143500,24600,249941,111000,30150,47550,58900,32150,74500,29450,9600,76000,195000,57900,35550,6000,32000,82300,30728,71500,29150,93800,61300,40100,18550,91300,5450,44450,75600,11350,59500,33000,326500,47050,92100,34350,206000,62600,83900,23800,7390,2470,32000,33000,28250,213500,47650,7990,47900,21450,88000,1660,236000,33600,444000,55500,379500,23800,26150,351000,91800,4900,86700,60200,128000,8390,29750,34250,59500,76500,154000,40350,148000,3010,27700,14000,41250,4095,14200,33050,48800,88500,13200,30400,17350,45600,7930,59600,67400,727000,13500,15550,125000,8900,12400,81826,33650,48800,20800,12500,756000,156500,17800,22600,12450,54300,21550,41650,32500,49700,64200,11300,112500,21200,51000,17150,13850,25100,16050,26250,10750,32750,32200,9600,50200
2022-12-05,60300,562000,81000,833000,696000,697000,165500,65600,191500,293500,58000,167129,206500,209000,116500,52500,96800,38200,171500,80800,68600,45600,19850,211000,27400,97500,152000,197000,50400,140000,603000,114500,16150,184500,21800,38950,124000,715000,12800,454500,25650,87100,11250,37550,63800,63378,179547,139500,298000,73800,82600,168000,36300,23750,64700,51600,61600,116000,72600,14250,161000,8570,68600,34250,12050,46700,375000,33700,5120,64200,23150,39600,33000,55482,6510,143500,24650,248467,112000,29600,46550,57700,32350,74100,29150,9570,80000,196000,57600,35200,5960,31950,82100,30924,70500,29250,92800,59700,40000,18600,92500,5670,43950,75000,11200,58300,34550,327500,46400,91900,34150,207000,62600,85100,23200,7280,2425,33400,33450,27900,224500,46650,8160,48450,21500,87400,1670,234000,33400,447000,54900,380000,23850,26350,360000,90400,4870,87300,60000,130000,8230,30100,33950,58700,76000,156000,40300,146500,2985,26600,13750,40000,4125,14850,32750,48800,88500,12550,31850,17900,45700,7860,61400,67900,729000,13500,15600,125500,8990,12900,81253,33700,47100,21050,12450,750000,167000,17400,22300,12450,57300,21650,42500,32400,49100,67000,11550,113000,21300,48650,17350,13550,26850,16350,26650,10600,33300,32600,9600,51000
2022-12-06,59200,559000,81000,838000,686000,706000,164500,65100,185500,286500,56000,165684,206000,206000,116000,52100,97200,37900,170500,79800,67800,45350,19650,209500,27650,97700,145000,198000,50400,136500,599000,119000,15900,180000,21100,39350,123000,688000,12750,455000,25150,85700,11100,37300,63600,60072,176214,135000,284500,74500,84800,167500,35650,23800,64000,48850,60900,114000,72100,14200,155000,8460,68100,35100,11800,46850,376000,32300,5130,64700,22850,38950,32900,57874,6380,142000,24650,251414,107000,29200,46200,56400,32150,71000,28900,9470,80300,207000,57600,35100,5950,32000,82400,30728,69200,29550,91000,58600,39700,18450,99100,5520,43150,77000,10900,57200,32900,327000,46100,90100,33550,204500,62200,85800,23500,7240,2380,33000,33350,27600,223000,45800,8230,46850,20850,84600,1645,231000,32200,444500,53400,364000,23300,26200,349500,90300,4745,85100,58800,130000,8220,29750,33100,57200,75200,154500,39750,152000,2950,26700,13700,39450,4065,14600,31300,48650,87000,12450,30450,17650,44450,7800,59900,66600,713000,13050,15650,123500,8620,12800,80298,32650,46900,20700,12250,726000,167500,16800,21700,12500,58000,21150,40800,32350,48950,64200,11150,113500,21100,48000,17150,13200,25900,15950,25900,10700,32300,32100,9450,51000
2022-12-07,58900,563000,78900,831000,679000,708000,163000,65000,183500,290000,55500,168092,209000,207500,116000,50800,90300,37250,164500,78500,70600,44100,19800,204000,26800,97800,145000,203000,50200,134500,605000,118500,15950,178500,20850,37750,122500,693000,12500,460000,26050,83500,10900,37400,61600,59760,180500,135000,286000,73800,82700,169000,35200,23350,64000,47450,60700,115500,72200,13950,157000,8490,67100,34600,11650,46150,372500,32450,5080,63900,22900,38950,33050,56535,6340,142000,24900,250432,107000,28500,45300,56600,32400,71100,28800,9440,79300,205000,57300,34900,5930,32650,83400,30630,68100,29750,92600,59900,39550,18350,98500,5480,41950,75800,10950,56900,32800,329500,48350,89300,33650,203000,63700,90500,23400,7200,2365,32650,33400,27700,230500,45600,8170,46100,21100,84400,1640,231000,32300,448000,53700,361500,22950,25800,352000,89800,4685,85500,59200,127500,8270,29800,33300,56900,74900,159500,38900,152000,2970,26300,14100,39200,4040,14800,29650,48100,85100,12450,30800,17900,43800,7670,60800,66700,712000,13550,15750,126000,8580,13350,81062,33350,47300,21600,12450,724000,171000,16750,21550,12500,57600,21150,42550,32350,49850,64700,10900,113500,21300,47750,17200,13200,26900,15500,26600,10850,33600,32500,9360,53100
2022-12-08,59200,531000,78800,827000,670000,693000,162000,64700,185500,286500,55500,170018,204000,206000,117500,50400,89800,37400,163500,79600,72800,44800,19350,204000,27450,98900,145000,204500,50200,136500,604000,117500,15950,179500,20850,37200,126000,679000,12550,466000,26000,82700,10850,37600,63300,59822,186691,135500,282000,72800,83800,169000,35600,23150,63200,51900,61000,115500,71500,13750,154500,8690,66500,34500,11900,46150,372000,31600,5090,63300,22700,38550,32800,57109,6330,142000,24650,256324,105500,27800,45350,57700,32400,70300,28800,9410,78700,203500,57100,34650,5930,32600,83200,31022,67200,29650,94100,59300,37200,18200,97300,5680,42350,77300,10700,56100,32700,330000,52700,87600,33650,200500,62900,88200,23600,7160,2410,32800,33000,27550,223000,46150,8260,46700,20600,86700,1615,231500,31600,449000,54100,361500,22550,26000,355500,87300,4615,84200,60600,129500,8280,29900,33400,56000,74400,162500,38500,159500,2950,25900,13750,39200,4085,14700,30000,48400,83700,12600,30700,18200,44500,7670,59600,66200,703000,13250,15550,120500,8480,13400,81635,32500,46950,21300,12500,731000,165500,16500,21850,12250,57600,21200,41500,31800,49300,63500,10550,113500,21050,46700,17250,12450,26200,15450,26100,10800,33150,32050,9210,53000
